op,N,ours_ms,ref_ms
elementwise add (a+b),4096,0.038079,0.043122
elementwise add (a+b),8192,0.032726,0.043317
elementwise add (a+b),16384,0.038713,0.035104
elementwise add (a+b),32768,0.039585,0.038181
elementwise add (a+b),65536,0.039604,0.042921
elementwise add (a+b),131072,0.05653,0.043607
elementwise add (a+b),262144,0.042744,0.049054
elementwise add (a+b),524288,0.042475,0.045133
elementwise add (a+b),1048576,0.055974,0.067946
elementwise add (a+b),2097152,0.040002,0.071195
elementwise add (a+b),4194304,0.042073,0.073559
elementwise add (a+b),8388608,0.075796,0.073158
elementwise add (a+b),16777216,0.173712,0.136659
elementwise mul (a*b),4096,0.029857,0.038656
elementwise mul (a*b),8192,0.033326,0.052501
elementwise mul (a*b),16384,0.038394,0.042401
elementwise mul (a*b),32768,0.05743,0.067549
elementwise mul (a*b),65536,0.038878,0.061787
elementwise mul (a*b),131072,0.039944,0.057332
elementwise mul (a*b),262144,0.040275,0.056581
elementwise mul (a*b),524288,0.039972,0.06174
elementwise mul (a*b),1048576,0.040458,0.037747
elementwise mul (a*b),2097152,0.040671,0.041529
elementwise mul (a*b),4194304,0.041602,0.040971
elementwise mul (a*b),8388608,0.067233,0.039207
elementwise mul (a*b),16777216,0.176288,0.134992
matrix x vector (NxN . Nx1),128,0.026016,0.039488
matrix x vector (NxN . Nx1),256,0.060293,0.073874
matrix x vector (NxN . Nx1),384,0.063888,0.034831
matrix x vector (NxN . Nx1),512,0.078577,0.053694
matrix x vector (NxN . Nx1),768,0.107963,0.036292
matrix x vector (NxN . Nx1),1024,0.138638,0.039468
matrix x vector (NxN . Nx1),1536,0.200316,0.069562
matrix x vector (NxN . Nx1),2048,0.269778,0.069632
matrix x matrix (NxN . NxN),128,0.044879,0.0371
matrix x matrix (NxN . NxN),256,0.076733,0.044833
matrix x matrix (NxN . NxN),384,0.079124,0.044266
matrix x matrix (NxN . NxN),512,0.096177,0.071458
matrix x matrix (NxN . NxN),768,0.129248,0.0738
matrix x matrix (NxN . NxN),1024,0.198314,0.090002
matrix x matrix (NxN . NxN),1536,0.422509,0.062967
matrix x matrix (NxN . NxN),2048,0.816128,0.163316
gather (dynamic_slice),4096,0.032088,0.061301
gather (dynamic_slice),8192,0.035443,0.039701
gather (dynamic_slice),16384,0.040502,0.060989
gather (dynamic_slice),32768,0.049993,0.061584
gather (dynamic_slice),65536,0.066323,0.063411
gather (dynamic_slice),131072,0.064749,0.065067
gather (dynamic_slice),262144,0.049539,0.062215
gather (dynamic_slice),524288,0.049812,0.065212
gather (dynamic_slice),1048576,0.049686,0.060152
gather (dynamic_slice),2097152,0.063193,0.048715
gather (dynamic_slice),4194304,0.049946,0.037173
gather (dynamic_slice),8388608,0.05401,0.041675
gather (dynamic_slice),16777216,0.071079,0.041441
while loop (32x a*1.5+1),4096,0.028662,0.228102
while loop (32x a*1.5+1),8192,0.035092,0.227072
while loop (32x a*1.5+1),16384,0.045955,0.227708
while loop (32x a*1.5+1),32768,0.037238,0.226502
while loop (32x a*1.5+1),65536,0.037941,0.238765
while loop (32x a*1.5+1),131072,0.03755,0.227575
while loop (32x a*1.5+1),262144,0.038108,0.236523
while loop (32x a*1.5+1),524288,0.49089,0.228224
while loop (32x a*1.5+1),1048576,0.496879,0.246978
while loop (32x a*1.5+1),2097152,0.495866,0.227844
while loop (32x a*1.5+1),4194304,0.511172,0.228793
while loop (32x a*1.5+1),8388608,0.906135,0.37225
while loop (32x a*1.5+1),16777216,1.412077,0.800564
