op,N,ours_ms,ref_ms
elementwise add (a+b),4096,0.100456,0.024339
elementwise add (a+b),8192,0.067625,0.01371
elementwise add (a+b),16384,0.11494,0.018647
elementwise add (a+b),32768,0.081668,0.027067
elementwise add (a+b),65536,0.120347,0.046894
elementwise add (a+b),131072,0.105453,0.061312
elementwise add (a+b),262144,0.158458,0.096056
elementwise add (a+b),524288,0.149416,0.131115
elementwise add (a+b),1048576,0.312673,0.288571
elementwise add (a+b),2097152,0.824001,0.650616
elementwise add (a+b),4194304,1.554683,1.148574
elementwise add (a+b),8388608,2.55226,9.152548
elementwise add (a+b),16777216,4.134667,17.482801
elementwise mul (a*b),4096,0.083537,0.011015
elementwise mul (a*b),8192,0.093452,0.0097
elementwise mul (a*b),16384,0.088205,0.023419
elementwise mul (a*b),32768,0.117392,0.031285
elementwise mul (a*b),65536,0.116954,0.040414
elementwise mul (a*b),131072,0.092607,0.056531
elementwise mul (a*b),262144,0.104781,0.085105
elementwise mul (a*b),524288,0.154782,0.143217
elementwise mul (a*b),1048576,0.314449,0.316544
elementwise mul (a*b),2097152,0.665592,0.659315
elementwise mul (a*b),4194304,1.589443,0.856973
elementwise mul (a*b),8388608,2.672764,7.667728
elementwise mul (a*b),16777216,4.46885,16.171117
matrix x vector (NxN . Nx1),128,0.079839,0.013796
matrix x vector (NxN . Nx1),256,0.044874,0.009725
matrix x vector (NxN . Nx1),384,0.098809,0.032872
matrix x vector (NxN . Nx1),512,0.109745,0.035331
matrix x vector (NxN . Nx1),768,0.135291,0.047435
matrix x vector (NxN . Nx1),1024,0.157854,0.105506
matrix x vector (NxN . Nx1),1536,0.31189,0.202084
matrix x vector (NxN . Nx1),2048,0.667415,0.391131
matrix x matrix (NxN . NxN),128,0.228355,0.111526
matrix x matrix (NxN . NxN),256,0.863989,0.505522
matrix x matrix (NxN . NxN),384,1.537371,0.739639
matrix x matrix (NxN . NxN),512,3.501651,1.235439
matrix x matrix (NxN . NxN),768,9.174212,3.350154
matrix x matrix (NxN . NxN),1024,21.23029,4.914226
matrix x matrix (NxN . NxN),1536,48.81489,15.686639
matrix x matrix (NxN . NxN),2048,105.620279,36.330354
gather (dynamic_slice),4096,0.154195,0.008915
gather (dynamic_slice),8192,0.144925,0.008602
gather (dynamic_slice),16384,0.148617,0.010973
gather (dynamic_slice),32768,0.153198,0.011284
gather (dynamic_slice),65536,0.147527,0.013342
gather (dynamic_slice),131072,0.155782,0.037026
gather (dynamic_slice),262144,0.166473,0.053605
gather (dynamic_slice),524288,0.162018,0.071798
gather (dynamic_slice),1048576,0.220951,0.105101
gather (dynamic_slice),2097152,0.260693,0.219806
gather (dynamic_slice),4194304,0.584928,0.229941
gather (dynamic_slice),8388608,1.199792,0.784992
gather (dynamic_slice),16777216,2.123907,8.267268
while loop (32x a*1.5+1),4096,0.083016,0.02238
while loop (32x a*1.5+1),8192,0.103037,0.039415
while loop (32x a*1.5+1),16384,0.126034,0.076159
while loop (32x a*1.5+1),32768,0.091887,0.13533
while loop (32x a*1.5+1),65536,0.119761,0.912998
while loop (32x a*1.5+1),131072,0.189104,1.456879
while loop (32x a*1.5+1),262144,0.114738,2.036633
while loop (32x a*1.5+1),524288,5.877717,3.225219
while loop (32x a*1.5+1),1048576,9.219939,7.116329
while loop (32x a*1.5+1),2097152,20.994679,13.877539
while loop (32x a*1.5+1),4194304,35.618137,26.607236
while loop (32x a*1.5+1),8388608,53.590431,36.871844
while loop (32x a*1.5+1),16777216,80.918431,72.049625
