op,N,ours_ms,ref_ms
elementwise add (a+b),4096,0.06296,0.008445
elementwise add (a+b),8192,0.088059,0.026104
elementwise add (a+b),16384,0.126497,0.027314
elementwise add (a+b),32768,0.115229,0.037646
elementwise add (a+b),65536,0.09736,0.047315
elementwise add (a+b),131072,0.088357,0.065338
elementwise add (a+b),262144,0.09999,0.08462
elementwise add (a+b),524288,0.123895,0.156758
elementwise add (a+b),1048576,0.196708,0.307412
elementwise add (a+b),2097152,0.317657,0.640251
elementwise add (a+b),4194304,0.566299,1.050639
elementwise add (a+b),8388608,1.011482,10.019463
elementwise add (a+b),16777216,2.040952,17.578393
elementwise mul (a*b),4096,0.070673,0.009138
elementwise mul (a*b),8192,0.074138,0.009028
elementwise mul (a*b),16384,0.104392,0.009948
elementwise mul (a*b),32768,0.102146,0.026484
elementwise mul (a*b),65536,0.099373,0.033111
elementwise mul (a*b),131072,0.108775,0.040203
elementwise mul (a*b),262144,0.108754,0.073631
elementwise mul (a*b),524288,0.114726,0.147505
elementwise mul (a*b),1048576,0.206484,0.25067
elementwise mul (a*b),2097152,0.335684,0.711529
elementwise mul (a*b),4194304,0.59832,1.209213
elementwise mul (a*b),8388608,1.16432,4.222217
elementwise mul (a*b),16777216,2.361864,18.195932
matrix x vector (NxN . Nx1),128,0.021403,0.013147
matrix x vector (NxN . Nx1),256,0.028331,0.016445
matrix x vector (NxN . Nx1),384,0.039316,0.02259
matrix x vector (NxN . Nx1),512,0.08222,0.033085
matrix x vector (NxN . Nx1),768,0.086646,0.031756
matrix x vector (NxN . Nx1),1024,0.09782,0.041544
matrix x vector (NxN . Nx1),1536,0.125453,0.134824
matrix x vector (NxN . Nx1),2048,0.291704,0.2785
matrix x matrix (NxN . NxN),128,0.109474,0.108085
matrix x matrix (NxN . NxN),256,0.184908,0.549962
matrix x matrix (NxN . NxN),384,0.374943,0.752273
matrix x matrix (NxN . NxN),512,0.601622,1.110499
matrix x matrix (NxN . NxN),768,1.279993,3.234009
matrix x matrix (NxN . NxN),1024,2.12514,4.800172
matrix x matrix (NxN . NxN),1536,6.048425,14.47289
matrix x matrix (NxN . NxN),2048,15.335549,35.770422
gather (dynamic_slice),4096,0.074972,0.008155
gather (dynamic_slice),8192,0.093059,0.00856
gather (dynamic_slice),16384,0.120577,0.011657
gather (dynamic_slice),32768,0.162273,0.011378
gather (dynamic_slice),65536,0.12482,0.014077
gather (dynamic_slice),131072,0.12768,0.028171
gather (dynamic_slice),262144,0.13067,0.044256
gather (dynamic_slice),524288,0.101607,0.067865
gather (dynamic_slice),1048576,0.102235,0.104465
gather (dynamic_slice),2097152,0.199762,0.170229
gather (dynamic_slice),4194304,0.321464,0.529842
gather (dynamic_slice),8388608,0.490328,0.843347
gather (dynamic_slice),16777216,0.819191,4.925289
while loop (32x a*1.5+1),4096,0.061582,0.02703
while loop (32x a*1.5+1),8192,0.072532,0.032502
while loop (32x a*1.5+1),16384,0.096769,0.070823
while loop (32x a*1.5+1),32768,0.124677,0.133047
while loop (32x a*1.5+1),65536,0.077493,0.831008
while loop (32x a*1.5+1),131072,0.089023,1.394543
while loop (32x a*1.5+1),262144,0.099764,1.794666
while loop (32x a*1.5+1),524288,0.640947,3.305461
while loop (32x a*1.5+1),1048576,1.069185,5.886821
while loop (32x a*1.5+1),2097152,3.441475,13.513329
while loop (32x a*1.5+1),4194304,11.046921,25.432972
while loop (32x a*1.5+1),8388608,21.924898,44.297702
while loop (32x a*1.5+1),16777216,42.905429,69.278581
