# device=NVIDIA
work,n,T,mode,ms,compile_s,sig
fori-ew,4096,8,xla-cpu,0.093,0.19,0.73754
fori-ew,4096,8,while,0.523,0.19,0.73754
fori-ew,4096,8,for,0.162,0.23,0.73754
fori-ew,4096,8,unroll,0.092,0.18,0.73754
fori-ew,4096,32,xla-cpu,0.289,0.21,4.86302
fori-ew,4096,32,while,1.840,0.19,4.86302
fori-ew,4096,32,for,0.523,0.19,4.86302
fori-ew,4096,32,unroll,0.298,0.22,4.86302
fori-ew,4096,128,xla-cpu,0.825,0.07,12742.74805
fori-ew,4096,128,while,7.077,0.19,12742.74512
fori-ew,4096,128,for,1.991,0.22,12742.74512
fori-ew,4096,128,unroll,1.034,0.30,12742.74512
fori-ew,4096,512,xla-cpu,2.938,0.06,25364697512838955008.00000
fori-ew,4096,512,while,27.864,0.22,25364627144094777344.00000
fori-ew,4096,512,for,7.879,0.19,25364627144094777344.00000
fori-ew,4096,512,unroll,4.069,1.99,25364627144094777344.00000
fori-ew,1048576,8,xla-cpu,0.268,0.39,0.73741
fori-ew,1048576,8,while,0.956,0.40,0.73741
fori-ew,1048576,8,for,0.515,0.39,0.73741
fori-ew,1048576,8,unroll,0.268,0.41,0.73741
fori-ew,1048576,32,xla-cpu,0.264,0.15,4.86036
fori-ew,1048576,32,while,3.454,0.40,4.86036
fori-ew,1048576,32,for,1.858,0.39,4.86036
fori-ew,1048576,32,unroll,0.951,0.39,4.86036
fori-ew,1048576,128,xla-cpu,0.819,0.15,12709.56445
fori-ew,1048576,128,while,13.458,0.40,12709.53320
fori-ew,1048576,128,for,7.218,0.39,12709.53320
fori-ew,1048576,128,unroll,3.629,0.54,12709.53320
fori-ew,1048576,512,xla-cpu,2.873,0.15,25085258831662940160.00000
fori-ew,1048576,512,while,53.628,0.45,25085056521523429376.00000
fori-ew,1048576,512,for,28.596,0.42,25085056521523429376.00000
fori-ew,1048576,512,unroll,14.156,2.18,inf
scan-rnn,4096,8,xla-cpu,0.390,0.22,0.05695
scan-rnn,4096,8,while,1.092,0.19,0.05695
scan-rnn,4096,8,for,0.701,0.19,0.05695
scan-rnn,4096,8,unroll,0.417,0.26,0.05695
scan-rnn,4096,32,xla-cpu,1.444,0.30,0.09657
scan-rnn,4096,32,while,4.049,0.19,0.09657
scan-rnn,4096,32,for,2.652,0.19,0.09657
scan-rnn,4096,32,unroll,1.441,0.31,0.09657
scan-rnn,4096,128,xla-cpu,1.285,0.07,0.10000
scan-rnn,4096,128,while,15.935,0.23,0.10000
scan-rnn,4096,128,for,10.532,0.20,0.10000
scan-rnn,4096,128,unroll,6.353,1.10,0.10000
scan-rnn,4096,512,xla-cpu,4.833,0.07,0.10000
scan-rnn,4096,512,while,63.758,0.27,0.10000
scan-rnn,4096,512,for,42.152,0.27,0.10000
scan-rnn,4096,512,unroll,ERROR,,For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FIL
scan-rnn,1048576,8,xla-cpu,1.865,0.27,0.05695
scan-rnn,1048576,8,while,2.237,0.22,0.05695
scan-rnn,1048576,8,for,1.794,0.23,0.05695
scan-rnn,1048576,8,unroll,1.095,0.33,0.05695
scan-rnn,1048576,32,xla-cpu,35.537,0.27,0.09657
scan-rnn,1048576,32,while,38.460,0.31,0.09657
scan-rnn,1048576,32,for,36.132,0.29,0.09657
scan-rnn,1048576,32,unroll,ERROR,,For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FIL
