# device=NVIDIA
work,n,T,mode,ms,compile_s,sig
fori-ew,4096,8,xla-cpu,0.123,0.06,0.73754
fori-ew,4096,8,while,0.514,0.18,0.73754
fori-ew,4096,8,for,0.150,0.19,0.73754
fori-ew,4096,8,unroll,0.093,0.19,0.73754
fori-ew,4096,32,xla-cpu,0.279,0.06,4.86302
fori-ew,4096,32,while,1.765,0.19,4.86302
fori-ew,4096,32,for,0.489,0.18,4.86302
fori-ew,4096,32,unroll,0.285,0.19,4.86302
fori-ew,4096,128,xla-cpu,1.856,0.19,12742.74512
fori-ew,4096,128,while,6.772,0.20,12742.74512
fori-ew,4096,128,for,1.861,0.22,12742.74512
fori-ew,4096,128,unroll,1.053,0.34,12742.74512
fori-ew,4096,512,xla-cpu,7.286,0.21,25364627144094777344.00000
fori-ew,4096,512,while,26.796,0.21,25364627144094777344.00000
fori-ew,4096,512,for,7.342,0.19,25364627144094777344.00000
fori-ew,4096,512,unroll,4.109,2.60,25364627144094777344.00000
fori-ew,1048576,8,xla-cpu,0.268,0.37,0.73741
fori-ew,1048576,8,while,0.958,0.39,0.73741
fori-ew,1048576,8,for,0.516,0.39,0.73741
fori-ew,1048576,8,unroll,0.268,0.42,0.73741
fori-ew,1048576,32,xla-cpu,1.856,0.39,4.86036
fori-ew,1048576,32,while,3.472,0.42,4.86036
fori-ew,1048576,32,for,1.856,0.39,4.86036
fori-ew,1048576,32,unroll,0.952,0.39,4.86036
fori-ew,1048576,128,xla-cpu,7.229,0.42,12709.53320
fori-ew,1048576,128,while,13.465,0.39,12709.53320
fori-ew,1048576,128,for,7.215,0.39,12709.53320
fori-ew,1048576,128,unroll,3.616,0.60,12709.53320
fori-ew,1048576,512,xla-cpu,2.963,0.15,25085258831662940160.00000
fori-ew,1048576,512,while,53.560,0.48,25085056521523429376.00000
fori-ew,1048576,512,for,28.681,0.41,25085056521523429376.00000
fori-ew,1048576,512,unroll,ERROR,,For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FIL
scan-rnn,4096,8,xla-cpu,0.169,0.07,0.05695
scan-rnn,4096,8,while,0.768,0.19,0.05695
scan-rnn,4096,8,for,0.380,0.19,0.05695
scan-rnn,4096,8,unroll,0.393,0.21,0.05695
scan-rnn,4096,32,xla-cpu,0.399,0.06,0.09657
scan-rnn,4096,32,while,2.707,0.20,0.09657
scan-rnn,4096,32,for,1.297,0.19,0.09657
scan-rnn,4096,32,unroll,1.442,0.32,0.09657
scan-rnn,4096,128,xla-cpu,1.285,0.07,0.10000
scan-rnn,4096,128,while,10.588,0.20,0.10000
scan-rnn,4096,128,for,5.152,0.19,0.10000
scan-rnn,4096,128,unroll,5.580,1.53,0.10000
scan-rnn,4096,512,xla-cpu,4.804,0.07,0.10000
scan-rnn,4096,512,while,42.064,0.23,0.10000
scan-rnn,4096,512,for,20.445,0.22,0.10000
scan-rnn,4096,512,unroll,22.130,18.57,0.10000
scan-rnn,1048576,8,xla-cpu,1.086,0.21,0.05695
scan-rnn,1048576,8,while,1.527,0.21,0.05695
scan-rnn,1048576,8,for,1.111,0.21,0.05695
scan-rnn,1048576,8,unroll,1.095,0.33,0.05695
scan-rnn,1048576,32,xla-cpu,4.843,0.22,0.09657
scan-rnn,1048576,32,while,6.431,0.21,0.09657
scan-rnn,1048576,32,for,4.842,0.21,0.09657
scan-rnn,1048576,32,unroll,13.705,0.82,0.09657
