# device=Portable
work,n,T,mode,ms,compile_s,sig
fori-ew,4096,8,xla-cpu,0.119,0.08,0.73754
fori-ew,4096,8,while,1.905,0.20,0.73754
fori-ew,4096,8,for,0.707,0.23,0.73754
fori-ew,4096,8,unroll,0.236,0.22,0.73754
fori-ew,4096,32,xla-cpu,0.417,0.24,4.86302
fori-ew,4096,32,while,7.957,0.23,4.86302
fori-ew,4096,32,for,3.310,0.22,4.86302
fori-ew,4096,32,unroll,0.537,0.24,4.86302
fori-ew,4096,128,xla-cpu,10.810,0.24,12742.72949
fori-ew,4096,128,while,30.211,0.25,12742.72949
fori-ew,4096,128,for,11.677,0.23,12742.72949
fori-ew,4096,128,unroll,1.678,0.35,12742.72949
fori-ew,4096,512,xla-cpu,41.070,0.28,25364539183164555264.00000
fori-ew,4096,512,while,110.306,0.34,25364539183164555264.00000
fori-ew,4096,512,for,43.142,0.28,25364539183164555264.00000
fori-ew,4096,512,unroll,9.763,1.94,25364539183164555264.00000
fori-ew,1048576,8,xla-cpu,10.508,0.42,0.73741
fori-ew,1048576,8,while,15.754,0.45,0.73741
fori-ew,1048576,8,for,13.395,0.44,0.73741
fori-ew,1048576,8,unroll,10.422,0.42,0.73741
fori-ew,1048576,32,xla-cpu,0.276,0.15,4.86036
fori-ew,1048576,32,while,44.771,0.43,4.86036
fori-ew,1048576,32,for,43.851,0.45,4.86036
fori-ew,1048576,32,unroll,45.583,0.46,4.86036
fori-ew,1048576,128,xla-cpu,0.817,0.15,12709.56445
fori-ew,1048576,128,while,182.810,0.59,12709.53320
fori-ew,1048576,128,for,159.078,0.58,12709.53320
fori-ew,1048576,128,unroll,180.170,0.74,12709.53320
fori-ew,1048576,512,xla-cpu,2.957,0.15,25085258831662940160.00000
fori-ew,1048576,512,while,711.704,1.12,25085056521523429376.00000
fori-ew,1048576,512,for,634.823,1.09,25085056521523429376.00000
fori-ew,1048576,512,unroll,ERROR,,For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FIL
scan-rnn,4096,8,xla-cpu,0.164,0.07,0.05695
scan-rnn,4096,8,while,8.905,0.23,0.05695
scan-rnn,4096,8,for,6.881,0.19,0.05695
scan-rnn,4096,8,unroll,4.448,0.20,0.05695
scan-rnn,4096,32,xla-cpu,23.207,0.26,0.09657
scan-rnn,4096,32,while,27.062,0.22,0.09657
scan-rnn,4096,32,for,22.637,0.21,0.09657
scan-rnn,4096,32,unroll,22.960,0.27,0.09657
scan-rnn,4096,128,xla-cpu,153.041,0.37,0.10000
scan-rnn,4096,128,while,171.848,0.38,0.10000
scan-rnn,4096,128,for,154.498,0.37,0.10000
scan-rnn,4096,128,unroll,102.664,0.90,0.10000
scan-rnn,4096,512,xla-cpu,4.676,0.08,0.10000
scan-rnn,4096,512,while,1808.700,2.11,0.10000
scan-rnn,4096,512,for,1734.665,1.98,0.10000
scan-rnn,4096,512,unroll,ERROR,,For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FIL
scan-rnn,1048576,8,xla-cpu,0.156,0.07,0.05695
scan-rnn,1048576,8,while,274.605,0.47,0.05695
scan-rnn,1048576,8,for,270.190,0.47,0.05695
scan-rnn,1048576,8,unroll,126.844,0.36,0.05695
scan-rnn,1048576,32,xla-cpu,3600.805,3.86,0.09657
scan-rnn,1048576,32,while,3592.605,3.84,0.09657
scan-rnn,1048576,32,for,3581.991,3.81,0.09657
scan-rnn,1048576,32,unroll,ERROR,,For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FIL
