# device=Portable
work,n,T,mode,ms,compile_s,sig
fori-ew,4096,8,xla-cpu,0.123,0.06,0.73754
fori-ew,4096,8,while,1.958,0.19,0.73754
fori-ew,4096,8,for,0.877,0.18,0.73754
fori-ew,4096,8,unroll,0.239,0.19,0.73754
fori-ew,4096,32,xla-cpu,0.576,0.24,4.86302
fori-ew,4096,32,while,7.231,0.19,4.86302
fori-ew,4096,32,for,3.600,0.21,4.86302
fori-ew,4096,32,unroll,0.451,0.19,4.86302
fori-ew,4096,128,xla-cpu,0.814,0.06,12742.74805
fori-ew,4096,128,while,27.142,0.21,12742.72949
fori-ew,4096,128,for,9.752,0.19,12742.72949
fori-ew,4096,128,unroll,1.539,0.35,12742.72949
fori-ew,4096,512,xla-cpu,2.926,0.06,25364697512838955008.00000
fori-ew,4096,512,while,107.504,0.30,25364539183164555264.00000
fori-ew,4096,512,for,39.082,0.23,25364539183164555264.00000
fori-ew,4096,512,unroll,9.836,2.53,25364539183164555264.00000
fori-ew,1048576,8,xla-cpu,9.942,0.39,0.73741
fori-ew,1048576,8,while,13.980,0.47,0.73741
fori-ew,1048576,8,for,12.102,0.39,0.73741
fori-ew,1048576,8,unroll,10.230,0.39,0.73741
fori-ew,1048576,32,xla-cpu,0.264,0.14,4.86036
fori-ew,1048576,32,while,45.245,0.42,4.86036
fori-ew,1048576,32,for,39.721,0.43,4.86036
fori-ew,1048576,32,unroll,43.807,0.44,4.86036
fori-ew,1048576,128,xla-cpu,154.589,0.55,12709.53320
fori-ew,1048576,128,while,167.653,0.55,12709.53320
fori-ew,1048576,128,for,154.992,0.53,12709.53320
fori-ew,1048576,128,unroll,170.406,0.76,12709.53320
fori-ew,1048576,512,xla-cpu,610.039,1.01,25085056521523429376.00000
fori-ew,1048576,512,while,687.681,1.06,25085056521523429376.00000
fori-ew,1048576,512,for,581.175,1.05,25085056521523429376.00000
fori-ew,1048576,512,unroll,ERROR,,For simplicity, JAX has removed its internal frames from the traceback of the following exception. Set JAX_TRACEBACK_FIL
scan-rnn,4096,8,xla-cpu,3.419,0.20,0.05695
scan-rnn,4096,8,while,6.939,0.19,0.05695
scan-rnn,4096,8,for,4.762,0.21,0.05695
scan-rnn,4096,8,unroll,4.773,0.19,0.05695
scan-rnn,4096,32,xla-cpu,0.421,0.06,0.09657
scan-rnn,4096,32,while,17.279,0.21,0.09657
scan-rnn,4096,32,for,12.635,0.19,0.09657
scan-rnn,4096,32,unroll,23.012,0.29,0.09657
scan-rnn,4096,128,xla-cpu,1.286,0.06,0.10000
scan-rnn,4096,128,while,69.629,0.25,0.10000
scan-rnn,4096,128,for,51.408,0.25,0.10000
scan-rnn,4096,128,unroll,90.270,1.43,0.10000
scan-rnn,4096,512,xla-cpu,4.842,0.08,0.10000
scan-rnn,4096,512,while,286.764,0.47,0.10000
scan-rnn,4096,512,for,205.464,0.40,0.10000
scan-rnn,4096,512,unroll,940.099,16.84,0.10000
scan-rnn,1048576,8,xla-cpu,62.920,0.27,0.05695
scan-rnn,1048576,8,while,61.821,0.27,0.05695
scan-rnn,1048576,8,for,60.573,0.27,0.05695
scan-rnn,1048576,8,unroll,113.536,0.34,0.05695
scan-rnn,1048576,32,xla-cpu,0.395,0.06,0.09657
scan-rnn,1048576,32,while,243.923,0.43,0.09657
scan-rnn,1048576,32,for,237.424,0.45,0.09657
scan-rnn,1048576,32,unroll,1373.175,1.70,0.09657
