kind,variant,size,ms,throughput,maxerr,cmp
ew,scalar,262144,0.0104,202.6,0.00e+00
ew,regdb,262144,0.0082,255.7,0.00e+00
ew,async,262144,0.0114,184.1,0.00e+00
ew,scalar,1048576,0.0105,798.9,0.00e+00
ew,regdb,1048576,0.0091,924.9,0.00e+00
ew,async,1048576,0.0120,699.1,0.00e+00
ew,scalar,4194304,0.0163,2061.1,0.00e+00
ew,regdb,4194304,0.0132,2544.0,0.00e+00
ew,async,4194304,0.0214,1570.2,0.00e+00
ew,scalar,16777216,0.0418,3211.6,0.00e+00
ew,regdb,16777216,0.0289,4641.0,0.00e+00
ew,async,16777216,0.0578,2321.3,0.00e+00
mma,single,512x512x512,0.1677,1600.8,0.00e+00,vs-host
mma,double,512x512x512,0.1466,1831.4,0.00e+00,vs-host
mma,async,512x512x512,1.0766,249.3,0.00e+00,vs-host
mma,single,512x2048x512,0.2981,3602.1,0.00e+00,vs-host
mma,double,512x2048x512,0.2805,3827.4,0.00e+00,vs-host
mma,async,512x2048x512,1.2041,891.8,0.00e+00,vs-host
mma,single,1024x1024x1024,0.5842,3675.8,0.00e+00,base
mma,double,1024x1024x1024,0.5543,3874.2,0.00e+00,vs-single
mma,async,1024x1024x1024,2.3980,895.5,0.00e+00,vs-single
mma,single,512x512x2048,0.6426,1670.9,0.00e+00,vs-host
mma,double,512x512x2048,0.5676,1891.7,0.00e+00,vs-host
mma,async,512x512x2048,4.2822,250.7,0.00e+00,vs-host
mma,single,2048x2048x2048,3.4682,4953.5,0.00e+00,base
mma,double,2048x2048x2048,3.2874,5225.9,0.00e+00,vs-single
mma,async,2048x2048x2048,14.3542,1196.9,0.00e+00,vs-single
occ,8KB,-, -,752,-,-
occ,16KB,-, -,752,-,-
