op,N,ours_ms,ref_ms
elementwise add (a+b),4096,0.004876,0.003276
elementwise add (a+b),8192,0.008671,0.003443
elementwise add (a+b),16384,0.01507,0.003314
elementwise add (a+b),32768,0.015051,0.003259
elementwise add (a+b),65536,0.015032,0.003313
elementwise add (a+b),131072,0.015095,0.003279
elementwise add (a+b),262144,0.015075,0.003318
elementwise add (a+b),524288,0.015139,0.00319
elementwise add (a+b),1048576,0.015148,0.003148
elementwise add (a+b),2097152,0.016605,0.003479
elementwise add (a+b),4194304,0.017995,0.006425
elementwise add (a+b),8388608,0.047552,0.012583
elementwise add (a+b),16777216,0.12474,0.049691
elementwise mul (a*b),4096,0.004814,0.003454
elementwise mul (a*b),8192,0.008699,0.003301
elementwise mul (a*b),16384,0.014963,0.003391
elementwise mul (a*b),32768,0.015105,0.003322
elementwise mul (a*b),65536,0.015095,0.00345
elementwise mul (a*b),131072,0.015086,0.003428
elementwise mul (a*b),262144,0.015078,0.003394
elementwise mul (a*b),524288,0.015186,0.00323
elementwise mul (a*b),1048576,0.015124,0.003171
elementwise mul (a*b),2097152,0.016564,0.003484
elementwise mul (a*b),4194304,0.018004,0.006499
elementwise mul (a*b),8388608,0.04732,0.012646
elementwise mul (a*b),16777216,0.125829,0.049748
matrix x vector (NxN . Nx1),128,0.015914,0.003741
matrix x vector (NxN . Nx1),256,0.028072,0.003705
matrix x vector (NxN . Nx1),384,0.040207,0.003768
matrix x vector (NxN . Nx1),512,0.052397,0.003946
matrix x vector (NxN . Nx1),768,0.076231,0.003661
matrix x vector (NxN . Nx1),1024,0.10065,0.00372
matrix x vector (NxN . Nx1),1536,0.1485,0.003434
matrix x vector (NxN . Nx1),2048,0.196333,0.004264
matrix x matrix (NxN . NxN),128,0.021317,0.004354
matrix x matrix (NxN . NxN),256,0.038311,0.004675
matrix x matrix (NxN . NxN),384,0.055362,0.005341
matrix x matrix (NxN . NxN),512,0.071839,0.007963
matrix x matrix (NxN . NxN),768,0.105697,0.01389
matrix x matrix (NxN . NxN),1024,0.146794,0.022277
matrix x matrix (NxN . NxN),1536,0.429323,0.057597
matrix x matrix (NxN . NxN),2048,0.851055,0.143655
gather (dynamic_slice),4096,0.012492,0.00474
gather (dynamic_slice),8192,0.014819,0.005418
gather (dynamic_slice),16384,0.019594,0.005599
gather (dynamic_slice),32768,0.029047,0.005087
gather (dynamic_slice),65536,0.029443,0.005123
gather (dynamic_slice),131072,0.029389,0.005031
gather (dynamic_slice),262144,0.029422,0.00492
gather (dynamic_slice),524288,0.029599,0.003794
gather (dynamic_slice),1048576,0.029631,0.003908
gather (dynamic_slice),2097152,0.029653,0.004026
gather (dynamic_slice),4194304,0.02973,0.003969
gather (dynamic_slice),8388608,0.030318,0.006512
gather (dynamic_slice),16777216,0.049772,0.011413
while loop (32x a*1.5+1),4096,0.001665,0.176164
while loop (32x a*1.5+1),8192,0.001838,0.182705
while loop (32x a*1.5+1),16384,0.002203,0.182242
while loop (32x a*1.5+1),32768,0.002244,0.182833
while loop (32x a*1.5+1),65536,0.002201,0.18258
while loop (32x a*1.5+1),131072,0.00216,0.174912
while loop (32x a*1.5+1),262144,0.002233,0.174916
while loop (32x a*1.5+1),524288,0.466156,0.175315
while loop (32x a*1.5+1),1048576,0.466281,0.181189
while loop (32x a*1.5+1),2097152,0.468305,0.181078
while loop (32x a*1.5+1),4194304,0.478869,0.19723
while loop (32x a*1.5+1),8388608,0.873312,0.348353
while loop (32x a*1.5+1),16777216,1.324409,0.694786
